LOCATION,Country,INDICATOR,Indicator,SEX,Sex,AGE,Age,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
SVK,Slovak Republic,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,28.067,,
SVK,Slovak Republic,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,13.986,,
SVK,Slovak Republic,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,38.069,,
SVK,Slovak Republic,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,20.066,,
SVN,Slovenia,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,64.15,,
SVN,Slovenia,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,16.752,,
SVN,Slovenia,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,26.383,,
SVN,Slovenia,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,68.033,,
ZAF,South Africa,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,26.577,,
ZAF,South Africa,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,28.658,,
ZAF,South Africa,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,31.24,,
ZAF,South Africa,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,30.806,,
ESP,Spain,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,46.755,,
ESP,Spain,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,18.521,,
ESP,Spain,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.831,,
ESP,Spain,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,24.345,,
SWE,Sweden,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,64.65,,
SWE,Sweden,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,41.293,,
SWE,Sweden,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,49.678,,
SWE,Sweden,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,61.573,,
